Metric,Sequence,Mask,Pearson,Spearman
niqe,crowd_run_short,False,0.90648,0.88424
niqe,crowd_run_short,True,0.96199,0.90709
niqe,kayak_trip_short,False,0.88247,0.83890
niqe,kayak_trip_short,True,0.83129,0.79956
niqe,making_alcohol_short,False,0.63902,0.48031
niqe,making_alcohol_short,True,0.82957,0.74559
niqe,tractor_short,False,0.84907,0.82298
niqe,tractor_short,True,0.88757,0.84498
niqe,wedding_party_short,False,0.77538,0.89466
niqe,wedding_party_short,True,0.78695,0.84822
psnr,crowd_run_short,False,0.03028,0.01645
psnr,crowd_run_short,True,0.29226,0.37729
psnr,kayak_trip_short,False,0.90524,0.89207
psnr,kayak_trip_short,True,0.90894,0.89239
psnr,making_alcohol_short,False,0.77839,0.72401
psnr,making_alcohol_short,True,0.75347,0.66405
psnr,tractor_short,False,0.81409,0.82465
psnr,tractor_short,True,0.84252,0.84653
psnr,wedding_party_short,False,0.94713,0.93680
psnr,wedding_party_short,True,0.95342,0.93631
ssim,crowd_run_short,False,0.88122,0.87336
ssim,crowd_run_short,True,0.89225,0.88108
ssim,kayak_trip_short,False,0.94497,0.93269
ssim,kayak_trip_short,True,0.94449,0.93316
ssim,making_alcohol_short,False,0.84835,0.75413
ssim,making_alcohol_short,True,0.81772,0.70427
ssim,tractor_short,False,0.88427,0.86078
ssim,tractor_short,True,0.88520,0.86132
ssim,wedding_party_short,False,0.96522,0.94318
ssim,wedding_party_short,True,0.96552,0.93836
vmaf,crowd_run_short,False,0.95792,0.90584
vmaf,crowd_run_short,True,0.95525,0.90325
vmaf,kayak_trip_short,False,0.94385,0.92837
vmaf,kayak_trip_short,True,0.94355,0.92967
vmaf,making_alcohol_short,False,0.90527,0.80601
vmaf,making_alcohol_short,True,0.88477,0.78673
vmaf,tractor_short,False,0.92448,0.91605
vmaf,tractor_short,True,0.90269,0.90325
vmaf,wedding_party_short,False,0.95575,0.94603
vmaf,wedding_party_short,True,0.95754,0.94571
