Comparison,Codec,Preset,Sequence,Crf,Real_bitrate,Subjective,Video_name
2018,divx,mv_ripping,crowd_run_sh,1000,0,2.976086163621762,enc_res_divx_mv_ripping_crowd_run_sh_1000
2018,divx,mv_ripping,crowd_run_sh,2000,0,4.771226001808982,enc_res_divx_mv_ripping_crowd_run_sh_2000
2018,divx,mv_ripping,crowd_run_sh,4000,0,6.418143589634344,enc_res_divx_mv_ripping_crowd_run_sh_4000
2018,huawei1,mv_ripping,crowd_run_sh,1000,0,0.0,enc_res_huawei1_mv_ripping_crowd_run_sh_1000
2018,huawei1,mv_ripping,crowd_run_sh,2000,0,0.0,enc_res_huawei1_mv_ripping_crowd_run_sh_2000
2018,huawei1,mv_ripping,crowd_run_sh,4000,0,0.0,enc_res_huawei1_mv_ripping_crowd_run_sh_4000
2018,huawei2,mv_ripping,crowd_run_sh,1000,0,2.327696574157648,enc_res_huawei2_mv_ripping_crowd_run_sh_1000
2018,huawei2,mv_ripping,crowd_run_sh,2000,0,4.362294669179258,enc_res_huawei2_mv_ripping_crowd_run_sh_2000
2018,huawei2,mv_ripping,crowd_run_sh,4000,0,6.112378860485316,enc_res_huawei2_mv_ripping_crowd_run_sh_4000
2018,intel_mfx_sw,mv_ripping,crowd_run_sh,1000,0,2.571039715834762,enc_res_intel_mfx_sw_mv_ripping_crowd_run_sh_1000
2018,intel_mfx_sw,mv_ripping,crowd_run_sh,2000,0,4.622764906579247,enc_res_intel_mfx_sw_mv_ripping_crowd_run_sh_2000
2018,intel_mfx_sw,mv_ripping,crowd_run_sh,4000,0,5.952021773276612,enc_res_intel_mfx_sw_mv_ripping_crowd_run_sh_4000
2018,intel_svt_hevc,mv_ripping,crowd_run_sh,1000,0,1.2376947650270211,enc_res_intel_svt_hevc_mv_ripping_crowd_run_sh_1000
2018,intel_svt_hevc,mv_ripping,crowd_run_sh,2000,0,2.9391414354305088,enc_res_intel_svt_hevc_mv_ripping_crowd_run_sh_2000
2018,intel_svt_hevc,mv_ripping,crowd_run_sh,4000,0,4.8489984980425405,enc_res_intel_svt_hevc_mv_ripping_crowd_run_sh_4000
2018,ks265,mv_ripping,crowd_run_sh,1000,0,0.9711565625377347,enc_res_ks265_mv_ripping_crowd_run_sh_1000
2018,ks265,mv_ripping,crowd_run_sh,2000,0,3.40829274813622,enc_res_ks265_mv_ripping_crowd_run_sh_2000
2018,ks265,mv_ripping,crowd_run_sh,4000,0,5.3009683022296645,enc_res_ks265_mv_ripping_crowd_run_sh_4000
2018,sif,mv_ripping,crowd_run_sh,1000,0,0.2223130552982137,enc_res_sif_mv_ripping_crowd_run_sh_1000
2018,sif,mv_ripping,crowd_run_sh,2000,0,1.9712124879695985,enc_res_sif_mv_ripping_crowd_run_sh_2000
2018,sif,mv_ripping,crowd_run_sh,4000,0,4.395731723539294,enc_res_sif_mv_ripping_crowd_run_sh_4000
2018,sz264,mv_ripping,crowd_run_sh,1000,0,0.0396202369350096,enc_res_sz264_mv_ripping_crowd_run_sh_1000
2018,sz264,mv_ripping,crowd_run_sh,2000,0,2.932981748484488,enc_res_sz264_mv_ripping_crowd_run_sh_2000
2018,sz264,mv_ripping,crowd_run_sh,4000,0,5.677968909898537,enc_res_sz264_mv_ripping_crowd_run_sh_4000
2018,sz265,mv_ripping,crowd_run_sh,1000,0,1.832774914957266,enc_res_sz265_mv_ripping_crowd_run_sh_1000
